会社名,会場,ブース番号,説明（日本語）,備考,Best of Innovation,山中行きたい,長坂行きたい,PDFページ,PDF_X,PDF_Y
Bortech Case,LVCC West,60439,BorTechケースは、放射線遮断要素であるホウ素をケースプラスチックに直接統合した初のソリューションです。特許出願中の技術を活用し、BorTechは革新的なp...,,,,,11.0,242.89,388.71
Boundless Sports Technology Limited,LVCC West,62919,Boundless Sportsはスマートスポーツ機器の世界的リーダーになることを使命としています。絶え間ないイノベーションを通じて、私たちはテニスをより知的で、すべての人にとってアクセスしやすくしています。私たちはエスティムを力づけます...,,,,,11.0,385.42,219.83
Brain-Life Link Technology JSC,LVCC West,61248,脳を理解し、人生を支配する Brain-Lifeは、洗練された脳波ウェアラブル(ヘッドバンド、ヘルメット、ヘッドホン)と、AI搭載プラットフォームを組み合わせてリアルタイムの脳モニタリングとパーソナライズされたメンタルケアを実現しています。,,,,,11.0,220.78,344.5
Braineulink,LVCC West,60662,BraineuLink Technology Incは、高度なAIと革新的なBCIチップを用いた非侵襲的な脳-コンピュータインターフェースを開発しています。私たちのソリューションは、mobiのようなデジタルデバイスとのシームレスな脳との相互作用を可能にします...,,,,,11.0,189.84,384.29
Brilliance,LVCC West,62100,Brilliance RGBのレーザーチップは、日常の拡張現実(AR)を生き生きと表現します。超コンパクトでウェハースケールの統合により、ARディスプレイに革命をもたらしました。10倍小さいサイズ、20倍の低消費電力の性能を提供します...,,,,,11.0,346.94,271.58
Brolan Tech Ltd.,LVCC West,62919,ブローラン・インテリジェンスは、持続可能でトレンド先導的な製品に注力する革新的なテック企業です。私たちのチームは世界的に有名な大学のトップタレントで構成されています。私たちは誇りを持ってブローラン1.0を発表します...,,,,,11.0,385.42,219.83
Business France - La French Tech,LVCC West,"60200, 60401, 60412 + 3 more",ビジネス・フランスは、フランス企業の国際発展、フランスへの国際投資、そしてフランス経済の振興を担当しています。,,,,,11.0,315.1,397.55
BuyHive Ltd,LVCC West,63200,SourcingGPT.ai はグローバル調達を革新する垂直型AI調達エージェントです。サプライヤーの発見、RFQ管理、ランディングコスト計算を自動化し、小売業者はSKUあたり250+時間の節約を実現します。D...,,,,,11.0,302.69,186.7
"CADDi Co., Ltd.",LVCC West,62801,CADDi Drawerは、製造業向けに設計されたAI駆動のデータ管理プラットフォームです。これにより、メーカーが図面を管理・活用する方法を効率化し、より効率的でコストを抑えることに寄与します...,,,,,11.0,302.4,213.22
"CARBONVATE CO.,LTD",LVCC West,62201,私たちは、持続可能性は妥協ではなく進化であるべきだと信じています。炭素回収技術とバイオベースの化合物を組み合わせることで、排出する炭素よりも多くの炭素を吸収する材料を作り出します...,,,,,11.0,313.4,238.43
COLORFOL,LVCC West,60601,,,,,,11.0,305.05,371.03
"CP6 Co., Ltd.",LVCC West,62501,ACATは、事故による紛争解決にかかる時間と費用を最小限に抑えつ、データ解釈を直感的かつ誰でもアクセスしやすくします。迅速かつ正確な分析を提供し、より良い...,,,,,11.0,347.95,238.42
CancerFree Biotech Ltd.,LVCC West,62201,CancerFree Biotechは、R&Dラボの文書作成を自動化するスマートグラスプラットフォーム「Prometheus Lab AI」を開発しました。ハンズフリーでリアルタイムのワークフローキャプチャにより、Prometheusは視覚入力をst...,,,,,11.0,313.4,238.43
Case Western Reserve University,LVCC West,61633,ケース・ウェスタン・リザーブ大学は、Gmailの発明者ポール・ブクハイト、取締役のジョー&アンソニー・ルッソ、KiwiCoのCEOサンドラ・オー・リン、クリーブランド・クリニック共同創設者のG...など、イノベーターや起業家のコミュニティです。,,,,,11.0,251.96,304.71
"Cephia AI, Inc.",LVCC West,61048,Cephiaは、メタレンスの革新と知的アルゴリズムを統合したAI駆動の共同設計アプローチでマルチモーダルセンシングを変革し、固定されたハードウェアの制約から柔軟な、s...,,,,,11.0,220.78,357.76
CheckIn-Alarm.com,LVCC West,60711,Artifeel Checkin-Alarm.com、AIとIoTの専門家は、あらゆる環境に適応可能なセキュリティ製品を開発しています。当社のチェックインラインはオールインワンの警報と監視システムで、独特の「bu...」を特徴としています。,,,,,11.0,369.65,344.52
Childfree Trust®,LVCC West,60660,子どもなし/子どもなしの米国人口25%(677億タム)にサービスを提供するチャイルドフリー・トラストは、重要な問い「年を取った後、誰が私のケアの願いを実行するのか?」を解決します。私たちは全国初の提供者です...,,,,,11.0,194.26,384.29
Chimera Tech,LVCC West,61601,スマートセーラー:あなたの船、もっと賢い。私たちの非侵襲的なAIは、予測保守、セキュリティ、リモートモニタリングを組み合わせたデジタルクルーとして機能します。私たちはどんな船でも効率を最適化しています—帆船でも動力でも、何か...,,,,,11.0,305.0,304.72
ClearSurgery,LVCC West,60711,ClearSurgeryは、ビデオストリームと患者データを集中管理し、無菌環境でのパフォーマンスと安全性を向上させるMixed Reality Sphereという没入型環境を提供します。,,,,,11.0,369.65,344.52
"Cloud Canvas, LLC",LVCC West,60259,MyCloudCanvasはスマートなデジタルフォトフレームで思い出を生き生きと蘇らせます。クラウドプラットフォームを使えば、どこからでも写真を即座にアップロード、整理、共有できます—美しいディスプレイ、手軽な操作、...,,,,,11.0,198.68,401.97
"CoatingSolution4U Co., Ltd",LVCC West,63300,CoatingSolution4Uは、コーティングプロセスの第一人者2人によって共同設立され、革新的な流体診断技術とナノ薄膜コーティング技術を通じて持続可能な地球の創造に専念しています...,,,,,11.0,348.82,180.06
Coffeebara,LVCC West,63300,Coffeebaraは、非構造化物体を扱うAIロボティクスを専門としています。飲む - 落とす - 完了。NOCOは当社の完全自動カップセパレーターで、Edge AIとアダプティブグリッパーを活用して識別、分離、クラッ...,,,,,11.0,348.82,180.06
Coroflo,LVCC West,61454,コロフロは「コロ」という、世界初の正確な授乳モニターを開発しました。Coroは特許取得済みの内蔵流量測定を持つシリコンシールドです。赤ちゃんが授乳するとき、量が測られて...,,,,,11.0,207.52,331.24
Cosito,Venetian Expo,60446,ベンチャー支援を受け、MITが設立したスタートアップが、AI搭載のマイクを開発し、現場のチームが音声でデータを記録できるようにしています。物理的なフォームやタイピングは不要です。言ってくれれば、記録する!,,,★★,,11.0,225.21,397.55
CubicSpace Technologies Inc.,LVCC West,60840,CubicSpaceは、すべての人に最も自然で快適かつ直感的な3Dユーザー体験を提供するソフトウェアプラグインを開発しています。そのプラグインは、従来のメディアプレーヤーを完璧かつ自動的にアダプトできるようにします...,,,,,11.0,238.47,371.02
Cyber Antennas,Venetian Expo,60654,Cyber Antennasのプラグアンドプレイ方式のWi-Fi 7メッシュプラットフォームは、スマートシティ、キャンパス、公園、フェスティバル会場、フェアグラウンド、キャンプなど、広範囲にわたる信頼性の高い高速Wi-Fiカバレッジを迅速に提供します。,,,★,,11.0,207.52,384.29
DETECT RESEAUX,LVCC West,60711,Detect Réseauxは地下配管の迅速かつ正確な位置特定のための新世代のツールを開発しています。この革新的な試作機は作戦の安全性を高め、赤い...,,,,,11.0,369.65,344.52
DIGIPAIR,LVCC West,60415,DIGIPAIRは、企業のツールと自然言語でやり取りすることで従業員を支援する、初のChatGPTに似たエージェントアシスタントです。学習し、改善し、キーのユーザー検証を求めます...,,,,,11.0,269.73,384.29
"DRT Co.,Ltd.",LVCC West,62901,私たちは危険な肉体労働を自律型ドローンに置き換え、外観維持に革命を起こしています。私たちのスマート空中システムは、超高層ビルや高層ビルのインフラをより速く、安全かつ効率的に浄化します...,,,,,11.0,345.64,219.83
Daejeon Metropolitan City,LVCC West,62845,韓国大田:韓国の科学の都であり、経済の有力地,,,,,11.0,213.61,215.42
DeNoize B.V.,LVCC West,62100,DeNoizeは普通の窓をスマート防音壁に変えます。私たちのレトロフィット技術はアクティブノイズキャンセリングを用いて交通や都市の騒音を遮断し、都市の家庭に静けさと平和を取り戻しますが、...,,,,,11.0,346.94,271.58
DeepFusion AI,Venetian Expo,63416,DeepFusion AIは、リアルタイム360°知覚を実現する4Dイメージングレーダーを用いた知覚センサー融合AIを開発しています。私たちの技術は自律走行や防衛システムを支えています。私たちはグローバルなOEMやTieと連携しています...,,★,,,11.0,273.58,166.82
DeepMentor Inc,LVCC West,62201,DeepMentorは、大規模かつプロフェッショナルなCNNモデルからLLMモデル(7B~180B)まで、ソフトウェアとハードウェアの小型化AIソリューションを提供することを専門とする企業です。分野は...,,,,,11.0,313.4,238.43
Dentomi Limited,LVCC West,63200,デントミ・リミテッドは、AI搭載ソリューションで口腔医療を変革する口腔ヘルステックの先駆者です。2023年に設立され、消費者とサービス提供者にアクセス可能で拡張可能、かつ既存のサービスを提供しています。,,,,,11.0,302.69,186.7
Dephy,LVCC West,61238,Dephyは、初のパワード足首ウェアラブルを先駆けたバイオニックフットウェアおよびアパレル企業です。我々の旗艦製品、デフィ・サイドキックは、10年にわたるバイオニクスの専門知識と人間優先の設計を組み合わせた...,,,,,11.0,242.89,344.5
Devamapp Mobility,LVCC West,63432,Devamappは、電気自動車ユーザー、充電ステーション、マイクロモビリティサービスを一つのアプリにまとめたスマートモビリティプラットフォームです。ユーザーは充電やパーキなど、料金を探し、計画し、支払いを行えます。,,,,,11.0,240.13,184.48
"DewCell, Inc.",LVCC West,62949,DewCellは幹細胞内で人工血小板を産生することができます。韓国で唯一自社技術を持つ企業です。9日間で大量の人工血小板率を生み出す技術があります......,,,,,11.0,429.5,219.83
Dfinite Inc.,LVCC West,63416,DARVIS 2.0は、AI搭載のデータ運用プラットフォームで、自然言語をSQLクエリに変換し、自動的にビジュアルレポートを作成することで、誰でもデータを即座に分析し、バスを改善できるようにします...,,,,,11.0,273.58,166.82
Diamond Quanta,LVCC West,60241,ダイヤモンドクアンタは、消費者向け電子機器、光学機器、ディスプレイ向けのエンジニアリングダイヤモンド材料を開発しています。CESでは、ダイヤモンドを一体取り込んだ反射防止コーティングのアダマンチン・オプティクスを初披露します。その効果は...,,,,,11.0,238.47,401.97
DogWoodAI INC.,LVCC West,63300,DogWoodAIは、化学工学の分野知識と基本原理をAI技術と組み合わせることで、自律型化学製造工場向けのモジュール型AIソリューションを提供します。,,,,,11.0,348.82,180.06
DotDot,LVCC West,60711,余ったGBを分け合ってCa$hを取り戻しましょう!#dotdot は、匿名のP2P取引を通じてモバイルインターネット・オンデマンドを発明する通信会社です。 #dot はポケットサイズのWiFiリピーターだ...,,,,,11.0,369.65,344.52
Dtablet,LVCC West,61448,薬は命を救いますが、毎日の使用は難しいことがあります。何百万人もの人が自宅や職場、外出先で薬を服用していますが、今日のツールは時代遅れで硬直しています。人々は用量を忘れたり、二重投与を恐れたり、記録が不足したりします...,,,,,11.0,220.78,331.24
DummDumm Inc.,Venetian Expo,62833,DummDumm Inc.は、5G通信、スマートウインチ、リアルタイム水質センサーを統合したドローンベースの環境ソリューションを開発しています。「より安全で、より賢い未来」というビジョンのもと、私たちは前進し続けています...,,★,,,11.0,241.29,206.6
Dyslexic Screen,LVCC West,60601,Lili for Lifeのインテリジェント照明は、ディスレクシアの子どもから大人まで読書において比類なき快適さを提供します。光から発せられる明るさは個別に調整できるんだ、いや...,,,,,11.0,305.05,371.03
E-magy B.V.,LVCC West,62100,E-magyはナノ多孔質シリコンアノード材料でリチウムイオン電池に革命をもたらしました。グラファイトに置き換えると、エネルギー密度が40%向上し、充電速度が3倍速くなり、アノード膨張は無視できるほどで、...,,,,,11.0,346.94,271.58
ECORENEW Inc.,LVCC West,62665,ECORENEWは、革新的なナノフィルター技術に関する20年以上の学術研究を基盤に設立されたスタートアップです。当社の独自ナノフィルターは、石油と水を工業廃水から99.999%の効率で分離します...,,,,,11.0,181.95,238.41
EEGDeep,LVCC West,62201,台湾半導体研究所(TSRI)は、台湾の国立応用研究院傘下の研究機関であり、学術界に先進的な半導体研究環境を提供しています。,,,,,11.0,313.4,238.43
ENERZAi Inc.,LVCC West,62817,ENERZAiはAI推論最適化技術に精通したAIソフトウェアソリューション企業です。次世代のAI推論エンジンOptimiumは、ターゲットハードウェア上でAIモデル推論を加速します...,,,,,11.0,272.28,206.6
EVA MILL. INC.,LVCC West,62201,EVA MILLの主な技術は無線音声・映像伝送システムです。専門的な技術と経験を活かし、お客様のビジネス効率向上を支援し、さらなる普及を図ります。,,,,,11.0,313.4,238.43
EYE-TECH s.r.l.,LVCC West,61001,Eye2Driveはイタリア・トスカーナ州カッラーラに拠点を置くファブレス半導体企業です。人間の目に触発されたシリコンベースのデジタルイメージングソリューションを開発しています。この会社はモニカ・ヴァッテロによって設立されました...,,,,,11.0,308.95,317.11
EZ Lab Srl,LVCC West,62000,AI、ブロックチェーン、感情ロボティクスを活用したデジタルプロダクトパスポートは、信頼できるライフサイクルデータを備えたすべての製品を戦略的資産に変えます。企業がプロセスを最適化し、削減するのを助ける...,,,,,11.0,310.14,282.62
Earflo Inc.,Venetian Expo,61245,Earfloは、慢性的な耳の感染症を引き起こす中耳圧の負の痛みを治療する子供向けの市販医療機器を開発し、耳管手術の自宅での代替手段を提供しています。デザインは...,,★,,,11.0,229.63,335.66
"Edura Co., Ltd.",LVCC West,62201,エデュラは、台湾のサイエンスパークにある革新的なスタートアップで、スマートIoTデバイス、ワイヤレス接続、人工知能を専門としています。高度な研究開発設備を備え、私たちは端から端まで...,,,,,11.0,313.4,238.43
Electrowater co. ltd.,LVCC West,62833,Electro Waterは、先進的な電気化学的水処理を専門とするディープテックスタートアップです。化学物質を使わない電気吸収技術は、廃水を浄化するだけでなく、回収を可能にします...,,,,,11.0,241.29,206.6
Emage Tomo Pte. Ltd.,LVCC West,60213,Emage Tomo Pte Ltdは人工自動化知能(AAI)を専門とし、Tomo(明日のオペレーター)やADAM(全方向自律移動)といった最先端イノベーションを提供しています。トモ・エクセル...,,,,,11.0,269.72,401.97
EntWick Inc.,LVCC West,61452,エントウィック社は、非侵襲的な電気治療を専門とする会社であり、さまざまな非侵襲的治療技術を基に医療機器の開発と製造を目的に設立されました...,,,,,11.0,211.94,331.24
Entoptica Limited,LVCC West,63200,Entoptica Ltdは香港の先駆的なメッドテックスタートアップで、世界初の量子技術を視覚科学に応用した「構造光観察知覚・評価」を導入しました。,,,,,11.0,302.69,186.7
European Innovation Council,LVCC West,60821,欧州イノベーション評議会(EIC)は、画期的な技術革新を特定、開発、拡大するための欧州の旗艦イノベーションプログラムです。東インド委員会はイノベーションを支援するために101億の予算を持っています...,,,,,11.0,271.01,348.04
